Wavlength (nm);475-20 REF;475-20;475-20 %;110%;560-20 REF;560-20;560-20 %;100%;668-10 REF;668-10;668-10 %;97%;717-10 REF;717-10;717-10 %;107%;840-40 REF;840-40;840-40 %;106%;;;;
451;1.419968;0.003435;0.3%;;1.4256;0.007478;0.5%;;1.433148;0.013811;0.9%;;1.40791;0.003739;0.3%;;1.420949;0.00191;0.1%;;;;;
452;1.440573;0.003771;0.3%;;1.450653;0.007822;0.5%;;1.453726;0.010173;0.7%;;1.428515;0.004283;0.3%;;1.443646;0.002456;0.2%;;;;;
453;1.45642;0.00468;0.4%;;1.466451;0.006818;0.5%;;1.463724;0.008806;0.6%;;1.445395;0.005177;0.4%;;1.456674;0.002046;0.1%;;;;;
454;1.472182;0.004809;0.4%;;1.484627;0.005632;0.4%;;1.479181;0.011565;0.8%;;1.461869;0.010754;0.8%;;1.471487;0.001066;0.1%;;;;;
455;1.507381;0.004989;0.4%;;1.517704;0.006074;0.4%;;1.506942;0.020601;1.3%;;1.499205;0.023096;1.6%;;1.507219;0.000964;0.1%;;;;;
456;1.53033;0.004745;0.3%;;1.535923;0.00502;0.3%;;1.550937;0.025236;1.6%;;1.518274;0.041992;3.0%;;1.525586;0.000831;0.1%;;;;;
457;1.550231;0.005492;0.4%;;1.548701;0.005527;0.4%;;1.558749;0.020736;1.3%;;1.53493;0.054808;3.8%;;1.543334;0.000902;0.1%;;;;;
458;1.567297;0.006653;0.5%;;1.568972;0.005667;0.4%;;1.587211;0.014981;0.9%;;1.555758;0.045333;3.1%;;1.56755;0.000918;0.1%;;;;;
459;1.590928;0.009935;0.7%;;1.596185;0.005098;0.3%;;1.6001;0.011539;0.7%;;1.580413;0.023306;1.6%;;1.59243;0.00095;0.1%;;;;;
460;1.615654;0.013627;0.9%;;1.620204;0.005213;0.3%;;1.622765;0.015204;0.9%;;1.602828;0.015547;1.0%;;1.617346;0.000857;0.1%;;;;;
461;1.633057;0.019754;1.3%;;1.639939;0.004984;0.3%;;1.619453;0.022932;1.4%;;1.621305;0.009328;0.6%;;1.633057;0.000955;0.1%;;;;;
462;1.652196;0.030212;2.0%;;1.659091;0.005199;0.3%;;1.638791;0.035762;2.1%;;1.638565;0.006691;0.4%;;1.652467;0.000859;0.1%;;;;;
463;1.682841;0.062635;4.1%;;1.689439;0.004948;0.3%;;1.681101;0.04727;2.7%;;1.672063;0.004158;0.3%;;1.68501;0.000672;0.0%;;;;;
464;1.701902;0.104481;6.8%;;1.708196;0.005282;0.3%;;1.70424;0.036546;2.1%;;1.6928;0.003776;0.2%;;1.701026;0.000629;0.0%;;;;;
465;1.718945;0.175604;11.2%;;1.721915;0.005782;0.3%;;1.724209;0.026232;1.5%;;1.712556;0.0036;0.2%;;1.719575;0.00063;0.0%;;;;;
