Wavlength (nm);475-20 REF;475-20;475-20 %;110%;560-20 REF;560-20;560-20 %;100%;668-10 REF;668-10;668-10 %;97%;717-10 REF;717-10;717-10 %;107%;840-40 REF;840-40;840-40 %;106%;;;;
575;5.096204;0.00154;0.0%;;5.112174;0.058656;1.1%;;5.116225;0.026985;0.5%;;5.074241;0.006696;0.1%;;5.101025;0.002804;0.1%;;;;;
576;5.148785;0.001704;0.0%;;5.164977;0.047969;0.9%;;5.186836;0.037883;0.7%;;5.126454;0.008906;0.2%;;5.152327;0.003432;0.1%;;;;;
577;5.188703;0.0016;0.0%;;5.203509;0.042001;0.8%;;5.196395;0.051531;1.0%;;5.167805;0.006807;0.1%;;5.195102;0.003855;0.1%;;;;;
578;5.243112;0.001111;0.0%;;5.254055;0.036624;0.7%;;5.247045;0.056765;1.0%;;5.220748;0.006839;0.1%;;5.235486;0.004976;0.1%;;;;;
579;5.3025;0.00137;0.0%;;5.317795;0.035583;0.7%;;5.326465;0.045467;0.8%;;5.270698;0.008323;0.2%;;5.293934;0.005193;0.1%;;;;;
580;5.358404;0.001847;0.0%;;5.371819;0.034529;0.6%;;5.356209;0.030452;0.6%;;5.330008;0.009477;0.2%;;5.351018;0.006202;0.1%;;;;;
581;5.400651;0.002573;0.1%;;5.415069;0.033524;0.6%;;5.412918;0.021574;0.4%;;5.368078;0.00705;0.1%;;5.385634;0.005147;0.1%;;;;;
582;5.460408;0.002375;0.0%;;5.466872;0.032821;0.6%;;5.431302;0.020642;0.4%;;5.416552;0.006571;0.1%;;5.441837;0.004009;0.1%;;;;;
583;5.488588;0.002958;0.1%;;5.512358;0.033869;0.6%;;5.500455;0.02074;0.4%;;5.468786;0.00606;0.1%;;5.47986;0.003868;0.1%;;;;;
584;5.544748;0.00792;0.2%;;5.562018;0.0341;0.6%;;5.524031;0.0396;0.7%;;5.522748;0.00088;0.0%;;5.545445;0.003282;0.1%;;;;;
585;5.561676;0.014966;0.3%;;5.577161;0.038416;0.7%;;5.566306;0.067608;1.2%;;5.535299;0.005927;0.1%;;5.563009;0.005918;0.1%;;;;;
586;5.618556;0.017757;0.3%;;5.635717;0.037823;0.7%;;5.644838;0.081006;1.4%;;5.586429;0.004467;0.1%;;5.606271;0.004011;0.1%;;;;;
587;5.674732;0.01509;0.3%;;5.690066;0.035741;0.6%;;5.657895;0.067274;1.2%;;5.634218;0.001804;0.0%;;5.658045;0.00326;0.1%;;;;;
588;5.694594;0.010781;0.2%;;5.705018;0.033298;0.6%;;5.691819;0.046234;0.8%;;5.656572;0.0003;0.0%;;5.674533;0.003394;0.1%;;;;;
589;5.698623;0.005837;0.1%;;5.709014;0.034722;0.6%;;5.703611;0.024747;0.4%;;5.658725;0.004534;0.1%;;5.688536;0.004099;0.1%;;;;;
590;5.69907;0.003551;0.1%;;5.711989;0.036339;0.6%;;5.675763;0.016847;0.3%;;5.664544;0.004533;0.1%;;5.690722;0.004193;0.1%;;;;;
591;5.71525;0.004013;0.1%;;5.732094;0.038888;0.7%;;5.692753;0.015035;0.3%;;5.682428;0.010551;0.2%;;5.708994;0.004418;0.1%;;;;;
592;5.751588;0.003089;0.1%;;5.773057;0.037138;0.6%;;5.772793;0.009906;0.2%;;5.719383;0.021093;0.4%;;5.7543;0.004143;0.1%;;;;;
593;5.779091;0.001917;0.0%;;5.800737;0.036528;0.6%;;5.804833;0.007892;0.1%;;5.751507;0.03277;0.6%;;5.786532;0.003927;0.1%;;;;;
594;5.78759;0.001502;0.0%;;5.800354;0.041296;0.7%;;5.79461;0.006532;0.1%;;5.758458;0.029433;0.5%;;5.784436;0.003088;0.1%;;;;;
595;5.800565;0.00214;0.0%;;5.810425;0.039703;0.7%;;5.816639;0.006028;0.1%;;5.771243;0.016968;0.3%;;5.795765;0.002995;0.1%;;;;;
596;5.822974;0.001582;0.0%;;5.838199;0.039793;0.7%;;5.849329;0.005695;0.1%;;5.795204;0.008934;0.2%;;5.821783;0.003546;0.1%;;;;;
597;5.846394;0.001087;0.0%;;5.858106;0.04103;0.7%;;5.836449;0.004972;0.1%;;5.81122;0.003536;0.1%;;5.845584;0.003628;0.1%;;;;;
598;5.886306;0.001447;0.0%;;5.905789;0.042957;0.7%;;5.919815;0.005237;0.1%;;5.847597;0.003223;0.1%;;5.879238;0.004083;0.1%;;;;;
599;5.930073;0.001476;0.0%;;5.947088;0.044051;0.7%;;5.980682;0.005939;0.1%;;5.89688;0.006704;0.1%;;5.924863;0.004564;0.1%;;;;;
600;5.980186;0.000936;0.0%;;5.998438;0.044783;0.7%;;6.002938;0.00558;0.1%;;5.947247;0.002592;0.0%;;5.973058;0.004221;0.1%;;;;;
601;5.994438;0.00127;0.0%;;6.001306;0.048148;0.8%;;6.021517;0.004114;0.1%;;5.970579;0.001717;0.0%;;5.988715;0.004301;0.1%;;;;;
602;6.012415;0.001458;0.0%;;6.016575;0.048922;0.8%;;6.030441;0.005369;0.1%;;5.974089;0.004551;0.1%;;6.005838;0.004444;0.1%;;;;;
603;6.033059;0.001294;0.0%;;6.042527;0.053049;0.9%;;6.078201;0.005603;0.1%;;6.00384;0.007092;0.1%;;6.027208;0.004282;0.1%;;;;;
604;6.06156;0.000865;0.0%;;6.068021;0.059596;1.0%;;6.109858;0.005366;0.1%;;6.029291;0.003389;0.1%;;6.057182;0.005066;0.1%;;;;;
605;6.105857;0.001194;0.0%;;6.115729;0.072018;1.2%;;6.117802;0.004251;0.1%;;6.071113;0.003935;0.1%;;6.102871;0.006042;0.1%;;;;;
606;6.149175;0.001556;0.0%;;6.157007;0.080206;1.3%;;6.163615;0.003916;0.1%;;6.100996;0.001678;0.0%;;6.135015;0.006643;0.1%;;;;;
607;6.207901;0.001067;0.0%;;6.23263;0.072998;1.2%;;6.197443;0.003463;0.1%;;6.182612;0.002798;0.0%;;6.207726;0.006899;0.1%;;;;;
608;6.275002;0.001895;0.0%;;6.300831;0.060431;1.0%;;6.269141;0.004001;0.1%;;6.246155;0.005896;0.1%;;6.274054;0.007984;0.1%;;;;;
609;6.400363;0.001176;0.0%;;6.415919;0.049406;0.8%;;6.427963;0.004144;0.1%;;6.366302;0.000281;0.0%;;6.398256;0.007558;0.1%;;;;;
610;6.825368;0.001691;0.0%;;6.841888;0.038288;0.6%;;6.844706;0.005882;0.1%;;6.784931;0.0031;0.0%;;6.824629;0.006534;0.1%;;;;;
611;7.181644;0.001778;0.0%;;7.212198;0.031082;0.4%;;7.178018;0.003872;0.1%;;7.130463;0.000563;0.0%;;7.182242;0.006477;0.1%;;;;;
612;7.181158;0.000813;0.0%;;7.200167;0.024238;0.3%;;7.204406;0.004099;0.1%;;7.115758;0.003109;0.0%;;7.175858;0.005424;0.1%;;;;;
613;6.954281;0.001365;0.0%;;6.965695;0.019531;0.3%;;6.960094;0.003367;0.0%;;6.898345;0.005104;0.1%;;6.942264;0.00537;0.1%;;;;;
614;6.851095;0.001338;0.0%;;6.85734;0.015916;0.2%;;6.848989;0.00389;0.1%;;6.791177;0.000285;0.0%;;6.835143;0.005371;0.1%;;;;;
615;6.743714;0.001508;0.0%;;6.764433;0.014148;0.2%;;6.781383;0.00492;0.1%;;6.695272;0.002585;0.0%;;6.736245;0.005871;0.1%;;;;;
616;6.693051;0.001498;0.0%;;6.704816;0.01494;0.2%;;6.690922;0.004872;0.1%;;6.64473;0.002598;0.0%;;6.681936;0.005846;0.1%;;;;;
617;6.661762;0.001147;0.0%;;6.659067;0.012307;0.2%;;6.654989;0.004806;0.1%;;6.613006;0.001456;0.0%;;6.647743;0.005844;0.1%;;;;;
618;6.65933;0.001189;0.0%;;6.674843;0.013026;0.2%;;6.638072;0.004171;0.1%;;6.608727;0.001756;0.0%;;6.641474;0.006293;0.1%;;;;;
619;6.702632;0.000703;0.0%;;6.718842;0.013101;0.2%;;6.667956;0.004922;0.1%;;6.644197;0.002665;0.0%;;6.687015;0.006236;0.1%;;;;;
620;6.712958;0.001417;0.0%;;6.737151;0.011407;0.2%;;6.724216;0.004697;0.1%;;6.672102;0.000596;0.0%;;6.705465;0.005461;0.1%;;;;;
621;6.737319;0.001905;0.0%;;6.761953;0.014637;0.2%;;6.771083;0.005244;0.1%;;6.705442;0.003622;0.1%;;6.730604;0.005564;0.1%;;;;;
622;6.765066;0.002934;0.0%;;6.776385;0.013325;0.2%;;6.767375;0.00564;0.1%;;6.71998;0.000909;0.0%;;6.75598;0.00635;0.1%;;;;;
623;6.78587;0.004343;0.1%;;6.80109;0.012837;0.2%;;6.805203;0.007264;0.1%;;6.738633;0.003382;0.1%;;6.776838;0.007245;0.1%;;;;;
624;6.802353;0.00447;0.1%;;6.817138;0.012501;0.2%;;6.819228;0.006309;0.1%;;6.75498;0;0.0%;;6.799179;0.007779;0.1%;;;;;
625;6.839075;0.003968;0.1%;;6.855853;0.012377;0.2%;;6.868661;0.007112;0.1%;;6.800138;0;0.0%;;6.835814;0.008516;0.1%;;;;;
626;6.847584;0.003101;0.0%;;6.875948;0.014814;0.2%;;6.833323;0.00719;0.1%;;6.814795;0.001896;0.0%;;6.841223;0.008839;0.1%;;;;;
627;6.888862;0.00166;0.0%;;6.911698;0.012998;0.2%;;6.869825;0.005559;0.1%;;6.854068;0.003199;0.0%;;6.877064;0.008518;0.1%;;;;;
628;6.909976;0.001778;0.0%;;6.935561;0.013338;0.2%;;6.898295;0.004971;0.1%;;6.873882;0.007437;0.1%;;6.896032;0.008255;0.1%;;;;;
629;6.968168;0.00166;0.0%;;6.994159;0.015578;0.2%;;6.960666;0.006723;0.1%;;6.925082;0.006231;0.1%;;6.953328;0.00782;0.1%;;;;;
630;7.00078;0.001824;0.0%;;7.022626;0.014796;0.2%;;6.994755;0.00746;0.1%;;6.965818;0.001967;0.0%;;6.989221;0.007265;0.1%;;;;;
631;7.051047;0.00164;0.0%;;7.071641;0.014449;0.2%;;7.062174;0.006975;0.1%;;7.001017;0;0.0%;;7.044321;0.007224;0.1%;;;;;
632;7.062262;0.001995;0.0%;;7.078096;0.014028;0.2%;;7.043278;0.004956;0.1%;;7.019758;0.002352;0.0%;;7.044412;0.00693;0.1%;;;;;
633;7.045015;0.001518;0.0%;;7.065681;0.016913;0.2%;;7.062644;0.004007;0.1%;;6.992548;0.001012;0.0%;;7.02747;0.006801;0.1%;;;;;
634;7.064753;0.001539;0.0%;;7.083654;0.01672;0.2%;;7.04102;0.007483;0.1%;;7.018057;0;0.0%;;7.048546;0.005409;0.1%;;;;;
635;7.064035;0.001439;0.0%;;7.078042;0.015768;0.2%;;7.04281;0.006617;0.1%;;7.017977;0;0.0%;;7.044701;0.006155;0.1%;;;;;
636;7.088707;0.002372;0.0%;;7.103807;0.018842;0.3%;;7.131701;0.008224;0.1%;;7.052937;0.003481;0.1%;;7.093712;0.006299;0.1%;;;;;
637;7.114601;0.001406;0.0%;;7.130153;0.016343;0.2%;;7.156381;0.007249;0.1%;;7.064299;0.003866;0.1%;;7.106869;0.006414;0.1%;;;;;
638;7.15302;0.002308;0.0%;;7.172325;0.017618;0.2%;;7.167399;0.007722;0.1%;;7.108197;0.006391;0.1%;;7.142946;0.006302;0.1%;;;;;
639;7.180069;0.002629;0.0%;;7.191475;0.015549;0.2%;;7.216915;0.006104;0.1%;;7.131194;0.005346;0.1%;;7.15953;0.005859;0.1%;;;;;
640;7.199945;0.002091;0.0%;;7.220987;0.0174;0.2%;;7.231328;0.004047;0.1%;;7.157096;0.005036;0.1%;;7.181061;0.006688;0.1%;;;;;
641;7.249249;0.001613;0.0%;;7.244343;0.021262;0.3%;;7.231985;0.00627;0.1%;;7.19355;0.003635;0.1%;;7.223172;0.007371;0.1%;;;;;
642;7.268887;0.003005;0.0%;;7.272373;0.019681;0.3%;;7.269208;0.008487;0.1%;;7.209246;0.00367;0.1%;;7.251132;0.00757;0.1%;;;;;
643;7.306885;0.003317;0.0%;;7.30942;0.023868;0.3%;;7.306609;0.012026;0.2%;;7.245235;0.002212;0.0%;;7.277166;0.009123;0.1%;;;;;
644;7.333355;0.002876;0.0%;;7.333772;0.025841;0.4%;;7.319669;0.009603;0.1%;;7.27439;0;0.0%;;7.317906;0.009905;0.1%;;;;;
645;7.367628;0.002372;0.0%;;7.385055;0.031893;0.4%;;7.364293;0.006529;0.1%;;7.30464;0.000752;0.0%;;7.344613;0.011332;0.2%;;;;;
646;7.375239;0.004587;0.1%;;7.395098;0.035416;0.5%;;7.378596;0.01097;0.1%;;7.331028;0.001135;0.0%;;7.381291;0.012601;0.2%;;;;;
647;7.434088;0.00464;0.1%;;7.443799;0.036595;0.5%;;7.406582;0.010333;0.1%;;7.377498;0.00421;0.1%;;7.419737;0.016121;0.2%;;;;;
648;7.448559;0.00511;0.1%;;7.463049;0.037135;0.5%;;7.43383;0.011563;0.2%;;7.402741;0.003454;0.0%;;7.439875;0.018363;0.3%;;;;;
649;7.468465;0.003652;0.1%;;7.480896;0.041165;0.6%;;7.457919;0.010787;0.1%;;7.422704;0.005418;0.1%;;7.452502;0.018974;0.3%;;;;;
650;7.541111;0.002912;0.0%;;7.550555;0.044431;0.6%;;7.566214;0.016246;0.2%;;7.480777;0.003523;0.1%;;7.536707;0.017298;0.2%;;;;;
651;7.578882;0.003683;0.1%;;7.585309;0.048598;0.6%;;7.582639;0.017897;0.2%;;7.520496;0;0.0%;;7.569983;0.014201;0.2%;;;;;
652;7.581769;0.002962;0.0%;;7.623887;0.044658;0.6%;;7.592124;0.019516;0.2%;;7.524316;0;0.0%;;7.576591;0.009546;0.1%;;;;;
653;7.610288;0.003151;0.0%;;7.624992;0.041162;0.5%;;7.576529;0.027608;0.4%;;7.551672;0;0.0%;;7.58123;0.008052;0.1%;;;;;
654;7.653491;0.003247;0.0%;;7.677385;0.042511;0.6%;;7.697879;0.033786;0.4%;;7.610016;0.004464;0.1%;;7.644005;0.00577;0.1%;;;;;
655;7.661379;0.002193;0.0%;;7.682088;0.042642;0.6%;;7.664134;0.039327;0.5%;;7.61685;0.008161;0.1%;;7.655769;0.004922;0.1%;;;;;
656;7.690313;0.002643;0.0%;;7.706584;0.042091;0.5%;;7.732352;0.056514;0.7%;;7.6242;0.008623;0.1%;;7.674144;0.003118;0.0%;;;;;
657;7.731306;0.002614;0.0%;;7.751751;0.038768;0.5%;;7.7267;0.074896;0.9%;;7.669764;0.012008;0.2%;;7.715882;0.002821;0.0%;;;;;
658;7.757823;0.002795;0.0%;;7.774541;0.033906;0.4%;;7.77219;0.115302;1.4%;;7.685414;0.009613;0.1%;;7.731649;0.00226;0.0%;;;;;
659;7.775642;0.002476;0.0%;;7.788233;0.032926;0.4%;;7.780857;0.15225;1.9%;;7.718061;0.010536;0.1%;;7.763947;0.002476;0.0%;;;;;
660;7.805964;0.002318;0.0%;;7.821894;0.034896;0.4%;;7.815075;0.250774;3.1%;;7.743417;0.007672;0.1%;;7.790994;0.002424;0.0%;;;;;
661;7.857942;0.004188;0.1%;;7.876679;0.0393;0.5%;;7.844573;0.36052;4.5%;;7.7962;0.009879;0.1%;;7.84656;0.001893;0.0%;;;;;
662;7.873133;0.002309;0.0%;;7.915454;0.036182;0.5%;;7.919637;0.647692;7.9%;;7.823967;0.015212;0.2%;;7.868243;0.002255;0.0%;;;;;
663;7.917207;0.002272;0.0%;;7.931549;0.035417;0.4%;;7.955306;1.000544;12.2%;;7.864547;0.0127;0.2%;;7.902865;0.002518;0.0%;;;;;
664;7.915822;0.001622;0.0%;;7.941717;0.03667;0.5%;;7.960739;1.560866;19.0%;;7.877613;0.012755;0.2%;;7.906696;0.002172;0.0%;;;;;
665;7.975186;0.002975;0.0%;;7.979691;0.037373;0.5%;;8.035138;2.885097;34.8%;;7.920795;0.009343;0.1%;;7.947267;0.002058;0.0%;;;;;
666;8.016046;0.002291;0.0%;;8.024317;0.037445;0.5%;;8.019287;3.955153;47.8%;;7.947639;0.008048;0.1%;;7.977707;0.001998;0.0%;;;;;
667;8.021437;0.00314;0.0%;;8.042467;0.038414;0.5%;;8.011735;5.34897;64.8%;;7.967657;0.008524;0.1%;;8.003155;0.002496;0.0%;;;;;
668;8.06776;0.00204;0.0%;;8.079888;0.037009;0.5%;;8.083289;6.067737;72.8%;;8.00468;0.016776;0.2%;;8.048093;0.002295;0.0%;;;;;
669;8.097322;0.002018;0.0%;;8.109486;0.031534;0.4%;;8.153875;6.802064;80.9%;;8.027451;0.017064;0.2%;;8.075357;0.002248;0.0%;;;;;
670;8.110552;0.001598;0.0%;;8.129676;0.035632;0.4%;;8.156414;7.114542;84.6%;;8.039346;0.011625;0.2%;;8.085964;0.001947;0.0%;;;;;
671;8.137962;0.002859;0.0%;;8.174396;0.035962;0.4%;;8.138551;7.299334;87.0%;;8.087791;0.015564;0.2%;;8.13071;0.002388;0.0%;;;;;
672;8.183977;0.003301;0.0%;;8.201942;0.032597;0.4%;;8.214493;7.240146;85.5%;;8.115511;0.012373;0.2%;;8.160422;0.001918;0.0%;;;;;
673;8.24639;0.003453;0.0%;;8.258989;0.033316;0.4%;;8.245784;6.860886;80.7%;;8.152137;0.014053;0.2%;;8.224099;0.001635;0.0%;;;;;
674;8.262496;0.004197;0.1%;;8.265537;0.03339;0.4%;;8.25982;6.332987;74.4%;;8.172057;0.01557;0.2%;;8.249663;0.002478;0.0%;;;;;
675;8.283168;0.00477;0.1%;;8.288523;0.030159;0.4%;;8.255532;4.953639;58.2%;;8.211955;0.01428;0.2%;;8.264642;0.001831;0.0%;;;;;
676;8.310502;0.003171;0.0%;;8.321568;0.02835;0.3%;;8.306087;3.707648;43.3%;;8.24031;0.016413;0.2%;;8.29844;0.001943;0.0%;;;;;
677;8.340684;0.004526;0.1%;;8.354419;0.03078;0.4%;;8.332068;1.967766;22.9%;;8.281372;0.01848;0.2%;;8.319082;0.00206;0.0%;;;;;
678;8.369677;0.005154;0.1%;;8.383401;0.032318;0.4%;;8.38378;1.178827;13.6%;;8.29549;0.017709;0.2%;;8.349122;0.001534;0.0%;;;;;
679;8.373379;0.006442;0.1%;;8.371841;0.035;0.4%;;8.344533;0.52679;6.1%;;8.293957;0.018974;0.2%;;8.339982;0.002099;0.0%;;;;;
680;8.405211;0.006009;0.1%;;8.418853;0.037615;0.4%;;8.395531;0.320601;3.7%;;8.334204;0.024946;0.3%;;8.385916;0.001624;0.0%;;;;;
681;8.438193;0.00527;0.1%;;8.474816;0.042288;0.5%;;8.477583;0.163948;1.9%;;8.376408;0.02424;0.3%;;8.429828;0.001531;0.0%;;;;;
682;8.449692;0.005309;0.1%;;8.466576;0.048345;0.6%;;8.441184;0.112058;1.3%;;8.380703;0.012663;0.2%;;8.434456;0.00249;0.0%;;;;;
683;8.513694;0.003436;0.0%;;8.545559;0.051739;0.6%;;8.496043;0.067504;0.8%;;8.445584;0.017246;0.2%;;8.496245;0.002779;0.0%;;;;;
684;8.55167;0.004081;0.1%;;8.569148;0.046519;0.5%;;8.499574;0.050803;0.6%;;8.474343;0.020675;0.3%;;8.528206;0.002822;0.0%;;;;;
685;8.582616;0.003615;0.0%;;8.582616;0.048206;0.6%;;8.600039;0.036017;0.4%;;8.496395;0.019283;0.2%;;8.543293;0.002496;0.0%;;;;;
686;8.578607;0.002426;0.0%;;8.600584;0.056364;0.7%;;8.626651;0.032931;0.4%;;8.513438;0.016084;0.2%;;8.549212;0.001699;0.0%;;;;;
687;8.621632;0.003269;0.0%;;8.633302;0.054275;0.6%;;8.606446;0.024958;0.3%;;8.544789;0.025872;0.3%;;8.584581;0.002179;0.0%;;;;;
688;8.675608;0.003226;0.0%;;8.67059;0.054487;0.6%;;8.667507;0.022368;0.3%;;8.582191;0.030398;0.4%;;8.63295;0.00233;0.0%;;;;;
689;8.666104;0.003554;0.0%;;8.676516;0.054572;0.6%;;8.660359;0.019747;0.2%;;8.60234;0.029871;0.4%;;8.655118;0.003034;0.0%;;;;;
690;8.706962;0.002881;0.0%;;8.733801;0.057615;0.7%;;8.70616;0.018379;0.2%;;8.618862;0.032089;0.4%;;8.679395;0.002261;0.0%;;;;;
691;8.743995;0.00324;0.0%;;8.74532;0.056254;0.6%;;8.708505;0.017745;0.2%;;8.621841;0.020028;0.2%;;8.69827;0.002724;0.0%;;;;;
692;8.758136;0.003172;0.0%;;8.768958;0.050305;0.6%;;8.764181;0.014032;0.2%;;8.681633;0.022093;0.3%;;8.725072;0.002426;0.0%;;;;;
693;8.786093;0.002298;0.0%;;8.816083;0.051088;0.6%;;8.768461;0.011001;0.1%;;8.722949;0.011453;0.1%;;8.766577;0.00275;0.0%;;;;;
694;8.792479;0.002815;0.0%;;8.81447;0.0522;0.6%;;8.787913;0.009283;0.1%;;8.714863;0.02922;0.4%;;8.778401;0.003234;0.0%;;;;;
695;8.831699;0.00353;0.0%;;8.839909;0.052869;0.6%;;8.851956;0.009208;0.1%;;8.742918;0.028238;0.3%;;8.812439;0.003242;0.0%;;;;;
696;8.892335;0.00412;0.1%;;8.886971;0.058303;0.7%;;8.896843;0.009873;0.1%;;8.772542;0.02301;0.3%;;8.85813;0.003673;0.0%;;;;;
697;8.888439;0.00335;0.0%;;8.904047;0.064164;0.7%;;8.96088;0.009301;0.1%;;8.790065;0.026485;0.3%;;8.863452;0.003015;0.0%;;;;;
698;8.898947;0.003764;0.0%;;8.905128;0.073228;0.8%;;8.919235;0.014503;0.2%;;8.793067;0.03487;0.4%;;8.869227;0.002754;0.0%;;;;;
699;8.936104;0.004066;0.1%;;8.935467;0.086111;1.0%;;8.921115;0.010684;0.1%;;8.821927;0.036358;0.4%;;8.885076;0.002432;0.0%;;;;;
700;8.961205;0.00323;0.0%;;8.946025;0.097382;1.1%;;8.952;0.014535;0.2%;;8.865358;0.038759;0.5%;;8.912353;0.001756;0.0%;;;;;
701;8.958432;0.003387;0.0%;;8.948229;0.1035;1.2%;;8.983898;0.014611;0.2%;;8.870441;0.047016;0.6%;;8.922843;0.003041;0.0%;;;;;
702;8.98737;0.004106;0.1%;;8.987534;0.106019;1.2%;;8.945324;0.011004;0.1%;;8.8972;0.061098;0.7%;;8.936865;0.002895;0.0%;;;;;
703;9.017121;0.004665;0.1%;;9.022203;0.097713;1.1%;;9.02995;0.016244;0.2%;;8.908828;0.087967;1.1%;;8.976386;0.001562;0.0%;;;;;
704;9.041354;0.003282;0.0%;;9.049684;0.089279;1.0%;;9.021832;0.010855;0.1%;;8.944417;0.106361;1.3%;;9.004077;0.002125;0.0%;;;;;
705;9.08404;0.002548;0.0%;;9.078263;0.07467;0.8%;;9.099755;0.00858;0.1%;;8.97505;0.146792;1.8%;;9.056091;0.003419;0.0%;;;;;
706;9.134368;0.003446;0.0%;;9.133506;0.061511;0.7%;;9.159524;0.008615;0.1%;;9.031504;0.19091;2.3%;;9.102923;0.00252;0.0%;;;;;
707;9.18753;0.004436;0.1%;;9.201621;0.056193;0.6%;;9.201013;0.006524;0.1%;;9.078189;0.276267;3.3%;;9.169263;0.002718;0.0%;;;;;
708;9.190453;0.006827;0.1%;;9.177673;0.050768;0.6%;;9.180212;0.005689;0.1%;;9.074737;0.382334;4.5%;;9.142749;0.003239;0.0%;;;;;
709;9.219169;0.008661;0.1%;;9.224232;0.035355;0.4%;;9.221389;0.007906;0.1%;;9.104843;0.606184;7.1%;;9.174398;0.002643;0.0%;;;;;
710;9.236067;0.008441;0.1%;;9.236156;0.034479;0.4%;;9.236871;0.008307;0.1%;;9.119052;0.896818;10.5%;;9.196675;0.002992;0.0%;;;;;
711;9.230311;0.007253;0.1%;;9.259414;0.026293;0.3%;;9.239105;0.007525;0.1%;;9.126681;1.666782;19.5%;;9.218343;0.002199;0.0%;;;;;
712;9.273615;0.00782;0.1%;;9.267083;0.023921;0.3%;;9.235618;0.006072;0.1%;;9.153275;3.080993;36.0%;;9.242978;0.002162;0.0%;;;;;
713;9.300007;0.007988;0.1%;;9.290069;0.022014;0.2%;;9.292948;0.007338;0.1%;;9.180929;4.344784;50.6%;;9.261088;0.002392;0.0%;;;;;
714;9.299925;0.009435;0.1%;;9.284074;0.026324;0.3%;;9.364178;0.007359;0.1%;;9.174155;6.108681;71.2%;;9.24388;0.003656;0.0%;;;;;
715;9.304876;0.007683;0.1%;;9.309171;0.023384;0.3%;;9.316998;0.012981;0.1%;;9.181465;6.815565;79.4%;;9.266221;0.004128;0.0%;;;;;
716;9.341637;0.006326;0.1%;;9.334394;0.019508;0.2%;;9.323867;0.007726;0.1%;;9.191558;7.292674;84.9%;;9.298757;0.004636;0.1%;;;;;
717;9.382573;0.008537;0.1%;;9.374331;0.019428;0.2%;;9.49512;0.010892;0.1%;;9.255897;7.378028;85.3%;;9.333021;0.00417;0.0%;;;;;
718;9.392359;0.00682;0.1%;;9.376914;0.01735;0.2%;;9.372502;0.008224;0.1%;;9.26038;7.406057;85.6%;;9.339005;0.00356;0.0%;;;;;
719;9.428908;0.007046;0.1%;;9.411243;0.022261;0.2%;;9.446676;0.006944;0.1%;;9.280947;7.456698;86.0%;;9.368151;0.003472;0.0%;;;;;
720;9.426877;0.007852;0.1%;;9.423652;0.026313;0.3%;;9.37373;0.008736;0.1%;;9.302695;7.366025;84.7%;;9.402435;0.003848;0.0%;;;;;
721;9.432571;0.008868;0.1%;;9.398903;0.024747;0.3%;;9.382121;0.010833;0.1%;;9.283771;6.859434;79.1%;;9.393061;0.004328;0.0%;;;;;
722;9.465009;0.008043;0.1%;;9.450771;0.022498;0.2%;;9.496419;0.009564;0.1%;;9.313285;6.048946;69.5%;;9.420448;0.003396;0.0%;;;;;
723;9.468352;0.006562;0.1%;;9.485036;0.02903;0.3%;;9.533308;0.009232;0.1%;;9.328431;4.143794;47.5%;;9.411405;0.003559;0.0%;;;;;
724;9.485974;0.006791;0.1%;;9.456005;0.033673;0.4%;;9.462627;0.007857;0.1%;;9.336914;2.801613;32.1%;;9.409872;0.00477;0.1%;;;;;
725;9.478898;0.004069;0.0%;;9.476185;0.027353;0.3%;;9.449284;0.01119;0.1%;;9.345184;1.31657;15.1%;;9.430747;0.003306;0.0%;;;;;
726;9.469679;0.002597;0.0%;;9.466856;0.036584;0.4%;;9.475663;0.009146;0.1%;;9.364218;0.587148;6.7%;;9.438628;0.002851;0.0%;;;;;
727;9.497101;0.00263;0.0%;;9.506838;0.042977;0.5%;;9.537393;0.008618;0.1%;;9.359551;0.346505;4.0%;;9.455915;0.003861;0.0%;;;;;
728;9.542903;0.004051;0.0%;;9.518265;0.043617;0.5%;;9.560772;0.010766;0.1%;;9.393294;0.18912;2.2%;;9.494181;0.002802;0.0%;;;;;
729;9.513224;0.004903;0.1%;;9.498129;0.054653;0.6%;;9.550248;0.012892;0.1%;;9.380117;0.1287;1.5%;;9.477854;0.009338;0.1%;;;;;
730;9.513578;0.003567;0.0%;;9.512605;0.064632;0.7%;;9.531844;0.007458;0.1%;;9.389934;0.066578;0.8%;;9.49261;0.005863;0.1%;;;;;
731;9.553828;0.005006;0.1%;;9.557343;0.072849;0.8%;;9.520599;0.010118;0.1%;;9.405362;0.051122;0.6%;;9.511227;0.003834;0.0%;;;;;
732;9.604146;0.006772;0.1%;;9.606792;0.073331;0.8%;;9.601395;0.011746;0.1%;;9.456849;0.046559;0.5%;;9.550391;0.004947;0.1%;;;;;
733;9.626186;0.002721;0.0%;;9.62671;0.068954;0.7%;;9.621373;0.012765;0.1%;;9.460968;0.043528;0.5%;;9.574602;0.003715;0.0%;;;;;
734;9.639318;0.002429;0.0%;;9.607166;0.061306;0.6%;;9.603858;0.009304;0.1%;;9.442994;0.049624;0.6%;;9.572843;0.002843;0.0%;;;;;
735;9.646977;0.003552;0.0%;;9.652536;0.061663;0.6%;;9.6338;0.007206;0.1%;;9.497916;0.041177;0.5%;;9.595814;0.003629;0.0%;;;;;
