Wavlength (nm);Band 1;Band 2;Band 3;Band 5;Band 4
873;0.2%;0.5%;0.4%;0.2%;4.9%
874;0.2%;0.4%;0.3%;0.2%;3.8%
875;0.1%;0.3%;0.5%;0.2%;2.9%
876;0.3%;0.3%;0.4%;0.1%;2.4%
877;0.1%;0.4%;0.4%;0.1%;1.9%
878;0.2%;0.3%;0.5%;0.2%;1.5%
879;0.1%;0.3%;0.3%;0.2%;1.2%
880;0.3%;0.4%;0.4%;0.2%;1.0%
881;0.2%;0.3%;0.4%;0.1%;0.8%
882;0.1%;0.4%;0.4%;0.2%;0.7%
883;0.3%;0.3%;0.3%;0.2%;0.5%
884;0.2%;0.5%;0.4%;0.1%;0.5%
885;0.2%;0.4%;0.3%;0.3%;0.4%
886;0.3%;0.5%;0.4%;0.1%;0.4%
887;0.1%;0.4%;0.3%;0.1%;0.3%
888;0.1%;0.4%;0.4%;0.1%;0.3%
889;0.2%;0.4%;0.5%;0.2%;0.2%
890;0.2%;0.4%;0.5%;0.1%;0.2%
891;0.1%;0.4%;0.5%;0.1%;0.2%
892;0.1%;0.3%;0.3%;0.1%;0.2%
893;0.2%;0.4%;0.4%;0.2%;0.2%
894;0.3%;0.3%;0.4%;0.2%;0.2%
895;0.1%;0.5%;0.3%;0.1%;0.2%
896;0.1%;0.4%;0.5%;0.2%;0.2%
897;0.2%;0.4%;0.3%;0.1%;0.2%
898;0.2%;0.3%;0.5%;0.1%;0.2%
899;0.1%;0.5%;0.4%;0.1%;0.2%
900;0.1%;0.5%;0.5%;0.2%;0.2%

