Wavlength (nm);Band 1;Band 2;Band 3;Band 5;Band 4
481;83.7%;0.1%;0.8%;0.1%;0.0%
482;83.1%;0.1%;0.6%;0.0%;0.0%
483;81.0%;0.2%;0.5%;0.0%;0.1%
484;78.7%;0.2%;0.5%;0.0%;0.0%
485;76.2%;0.2%;0.4%;0.0%;0.0%
486;73.7%;0.2%;0.5%;0.0%;0.0%
487;69.9%;0.1%;0.6%;0.1%;0.0%
488;67.8%;0.1%;0.7%;0.1%;0.0%
489;64.1%;0.1%;0.6%;0.2%;0.0%
490;56.5%;0.1%;0.6%;0.3%;0.1%
491;37.5%;0.1%;0.6%;0.1%;0.1%
492;24.6%;0.1%;0.5%;0.1%;0.1%
493;14.8%;0.1%;0.5%;0.1%;0.1%
494;8.5%;0.1%;0.5%;0.1%;0.1%
495;3.7%;0.1%;0.4%;0.1%;0.1%
496;2.3%;0.1%;0.5%;0.1%;0.1%
497;1.4%;0.1%;0.5%;0.1%;0.0%
498;1.0%;0.1%;0.6%;0.1%;0.0%
499;0.6%;0.1%;0.8%;0.1%;0.0%
500;0.5%;0.1%;1.0%;0.0%;0.0%
501;0.4%;0.1%;1.2%;0.0%;0.0%
502;0.4%;0.1%;1.5%;0.1%;0.0%
503;0.3%;0.2%;1.6%;0.1%;0.0%
504;0.4%;0.1%;1.7%;0.1%;0.0%
505;0.4%;0.2%;2.0%;0.1%;0.0%
506;0.4%;0.1%;2.8%;0.1%;0.0%
507;0.3%;0.1%;3.4%;0.0%;0.1%
508;0.2%;0.1%;3.5%;0.0%;0.0%
509;0.1%;0.1%;2.7%;0.0%;0.0%
510;0.1%;0.1%;2.1%;0.1%;0.0%
511;0.1%;0.1%;1.8%;0.1%;0.0%
512;0.1%;0.2%;1.9%;0.0%;0.0%
513;0.1%;0.1%;2.7%;0.1%;0.1%
514;0.1%;0.2%;3.5%;0.0%;0.0%
515;0.1%;0.2%;3.4%;0.0%;0.0%
516;0.1%;0.2%;1.9%;0.0%;0.0%
517;0.1%;0.2%;1.1%;0.0%;0.0%
518;0.1%;0.2%;0.6%;0.0%;0.0%
519;0.1%;0.2%;0.5%;0.0%;0.0%
520;0.0%;0.2%;0.3%;0.1%;0.0%
521;0.1%;0.3%;0.4%;0.2%;0.0%
522;0.1%;0.4%;0.4%;0.3%;0.0%
523;0.1%;0.7%;0.4%;0.8%;0.0%
524;0.0%;0.9%;0.4%;1.6%;0.1%
525;0.0%;1.1%;0.3%;1.6%;0.0%
526;0.0%;1.1%;0.3%;1.0%;0.1%
527;0.1%;1.1%;0.4%;0.3%;0.1%
528;0.1%;1.1%;0.4%;0.2%;0.1%
529;0.0%;1.1%;0.4%;0.2%;0.1%
530;0.0%;1.1%;0.4%;0.1%;0.1%
531;0.1%;1.1%;0.5%;0.1%;0.1%
532;0.1%;1.1%;0.6%;0.1%;0.1%
533;0.1%;1.3%;1.0%;0.2%;0.1%
534;0.2%;1.3%;1.5%;0.1%;0.1%
535;0.2%;1.3%;1.9%;0.1%;0.1%
536;0.1%;1.4%;1.6%;0.2%;0.1%
537;0.1%;1.5%;1.2%;0.2%;0.1%
538;0.1%;1.6%;0.9%;0.1%;0.0%
539;0.1%;1.7%;0.8%;0.1%;0.1%
540;0.1%;1.9%;0.6%;0.2%;0.0%
541;0.1%;2.1%;0.6%;0.2%;0.0%
542;0.1%;2.4%;0.6%;0.3%;0.0%
543;0.0%;3.1%;0.8%;0.2%;0.0%
544;0.1%;4.1%;0.8%;0.3%;0.0%
545;0.1%;6.0%;1.0%;0.3%;0.0%
546;0.1%;14.5%;1.6%;0.4%;0.1%
547;0.1%;28.5%;2.1%;0.3%;0.1%
548;0.1%;48.9%;2.2%;0.4%;0.1%
549;0.1%;72.7%;1.5%;0.4%;0.1%
550;0.1%;78.7%;1.1%;0.4%;0.1%
551;0.2%;81.6%;0.7%;0.3%;0.2%
552;0.3%;85.8%;0.5%;0.3%;0.3%
553;0.3%;87.4%;0.5%;0.3%;0.3%
554;0.2%;87.6%;0.4%;0.3%;0.3%
555;0.1%;86.0%;0.3%;0.3%;0.2%
556;0.1%;85.1%;0.3%;0.2%;0.1%
557;0.1%;84.6%;0.3%;0.1%;0.1%
558;0.0%;85.0%;0.3%;0.2%;0.1%
559;0.0%;85.7%;0.3%;0.2%;0.0%
560;0.0%;86.5%;0.3%;0.2%;0.0%
561;0.0%;87.6%;0.3%;0.2%;0.0%
562;0.0%;88.2%;0.3%;0.2%;0.0%
563;0.0%;88.0%;0.3%;0.2%;0.0%
564;0.0%;86.2%;0.3%;0.3%;0.0%
565;0.0%;82.8%;0.3%;0.4%;0.0%
566;0.0%;77.1%;0.3%;0.3%;0.0%
567;0.0%;63.0%;0.3%;0.4%;0.0%
568;0.0%;49.7%;0.3%;0.9%;0.1%
569;0.0%;35.5%;0.3%;1.2%;0.1%
570;0.0%;17.9%;0.3%;1.3%;0.1%
571;0.0%;10.4%;0.4%;0.9%;0.1%
572;0.0%;5.9%;0.4%;0.6%;0.1%
573;0.0%;2.7%;0.5%;0.3%;0.0%
574;0.0%;1.8%;0.5%;0.3%;0.1%
575;0.0%;1.1%;0.5%;0.1%;0.1%
576;0.0%;0.9%;0.7%;0.2%;0.1%
577;0.0%;0.8%;1.0%;0.1%;0.1%
578;0.0%;0.7%;1.0%;0.1%;0.1%
579;0.0%;0.7%;0.8%;0.2%;0.1%
580;0.0%;0.6%;0.6%;0.2%;0.1%
581;0.1%;0.6%;0.4%;0.1%;0.1%
582;0.0%;0.6%;0.4%;0.1%;0.1%
583;0.1%;0.6%;0.4%;0.1%;0.1%
584;0.2%;0.6%;0.7%;0.0%;0.1%
585;0.3%;0.7%;1.2%;0.1%;0.1%
586;0.3%;0.7%;1.4%;0.1%;0.1%
587;0.3%;0.6%;1.2%;0.0%;0.1%
588;0.2%;0.6%;0.8%;0.0%;0.1%
589;0.1%;0.6%;0.4%;0.1%;0.1%
590;0.1%;0.6%;0.3%;0.1%;0.1%
591;0.1%;0.7%;0.3%;0.2%;0.1%
592;0.1%;0.6%;0.2%;0.4%;0.1%
593;0.0%;0.6%;0.1%;0.6%;0.1%
594;0.0%;0.7%;0.1%;0.5%;0.1%
595;0.0%;0.7%;0.1%;0.3%;0.1%
596;0.0%;0.7%;0.1%;0.2%;0.1%
597;0.0%;0.7%;0.1%;0.1%;0.1%
598;0.0%;0.7%;0.1%;0.1%;0.1%
599;0.0%;0.7%;0.1%;0.1%;0.1%
600;0.0%;0.7%;0.1%;0.0%;0.1%
601;0.0%;0.8%;0.1%;0.0%;0.1%
602;0.0%;0.8%;0.1%;0.1%;0.1%
603;0.0%;0.9%;0.1%;0.1%;0.1%
604;0.0%;1.0%;0.1%;0.1%;0.1%
605;0.0%;1.2%;0.1%;0.1%;0.1%
606;0.0%;1.3%;0.1%;0.0%;0.1%
607;0.0%;1.2%;0.1%;0.0%;0.1%
608;0.0%;1.0%;0.1%;0.1%;0.1%
609;0.0%;0.8%;0.1%;0.0%;0.1%
610;0.0%;0.6%;0.1%;0.0%;0.1%
611;0.0%;0.4%;0.1%;0.0%;0.1%
612;0.0%;0.3%;0.1%;0.0%;0.1%
613;0.0%;0.3%;0.0%;0.1%;0.1%
614;0.0%;0.2%;0.1%;0.0%;0.1%
